,Title,Description,Link
0,Moderate Dems silent as Biden skirts Senate confirmation for John Kerry's replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Biden's decision to appoint John Podesta to a top policy role without Senate confirmation.,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement
1,DC jury orders conservative commentator to pay $1M for defaming climate scientist,"Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed ""hockey stick"" graph.",/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist
2,AOC declares victory in fight for Green New Deal 5 years later: 'Social and ecological transformation',"Rep. Alexandria Ocasio-Cortez declared victory in her fight for a Green New Deal, saying President Biden has pursued her vision but called for additional ""transformation.""",/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation
3,Why gas stove owners should still be worried,"The Biden administration is backtracking on energy efficiency regulation of gas stoves but, given their climate agenda, there are still ways they could go after them.",/opinion/why-gas-stove-owners-should-still-worried
4,"State AGs warn Biden's natural gas moratorium violates federal law, demand reversal",FIRST ON FOX: A group of nearly two dozen states are warning that President Biden's latest crackdown on natural gas exports may violate several federal statutes.,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal
5,John Kerry's climate office faces GOP Oversight probe over coordination with eco group 'kitchen cabinet',FIRST ON FOX: The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerry's apparent frequent work with eco groups.,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet
6,"Biden's latest climate rules crack down on manufacturing, ignoring industry warnings of economic devastation","The Environmental Protection Agency unveiled a sweeping regulatory action, curbing particulate matter emissions from industry sources such as manufacturing and energy.",/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation
7,"Biden admin sued for hiding John Kerry's staff, coordination with eco groups",FIRST ON FOX: The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerry's taxpayer-funded staff.,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups
8,TikTok activist says he advised White House on Biden's new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports.,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium
9,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy.,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development
10,Moderate Dems silent as Biden skirts Senate confirmation for John Kerry's replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Biden's decision to appoint John Podesta to a top policy role without Senate confirmation.,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement
11,DC jury orders conservative commentator to pay $1M for defaming climate scientist,"Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed ""hockey stick"" graph.",/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist
12,AOC declares victory in fight for Green New Deal 5 years later: 'Social and ecological transformation',"Rep. Alexandria Ocasio-Cortez declared victory in her fight for a Green New Deal, saying President Biden has pursued her vision but called for additional ""transformation.""",/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation
13,Why gas stove owners should still be worried,"The Biden administration is backtracking on energy efficiency regulation of gas stoves but, given their climate agenda, there are still ways they could go after them.",/opinion/why-gas-stove-owners-should-still-worried
14,"State AGs warn Biden's natural gas moratorium violates federal law, demand reversal",FIRST ON FOX: A group of nearly two dozen states are warning that President Biden's latest crackdown on natural gas exports may violate several federal statutes.,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal
15,John Kerry's climate office faces GOP Oversight probe over coordination with eco group 'kitchen cabinet',FIRST ON FOX: The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerry's apparent frequent work with eco groups.,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet
16,"Biden's latest climate rules crack down on manufacturing, ignoring industry warnings of economic devastation","The Environmental Protection Agency unveiled a sweeping regulatory action, curbing particulate matter emissions from industry sources such as manufacturing and energy.",/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation
17,"Biden admin sued for hiding John Kerry's staff, coordination with eco groups",FIRST ON FOX: The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerry's taxpayer-funded staff.,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups
18,TikTok activist says he advised White House on Biden's new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports.,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium
19,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy.,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development
20,Moderate Dems silent as Biden skirts Senate confirmation for John Kerry's replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Biden's decision to appoint John Podesta to a top policy role without Senate confirmation.,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement
21,DC jury orders conservative commentator to pay $1M for defaming climate scientist,"Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed ""hockey stick"" graph.",/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist
22,AOC declares victory in fight for Green New Deal 5 years later: 'Social and ecological transformation',"Rep. Alexandria Ocasio-Cortez declared victory in her fight for a Green New Deal, saying President Biden has pursued her vision but called for additional ""transformation.""",/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation
23,Why gas stove owners should still be worried,"The Biden administration is backtracking on energy efficiency regulation of gas stoves but, given their climate agenda, there are still ways they could go after them.",/opinion/why-gas-stove-owners-should-still-worried
24,"State AGs warn Biden's natural gas moratorium violates federal law, demand reversal",FIRST ON FOX: A group of nearly two dozen states are warning that President Biden's latest crackdown on natural gas exports may violate several federal statutes.,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal
25,John Kerry's climate office faces GOP Oversight probe over coordination with eco group 'kitchen cabinet',FIRST ON FOX: The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerry's apparent frequent work with eco groups.,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet
26,"Biden's latest climate rules crack down on manufacturing, ignoring industry warnings of economic devastation","The Environmental Protection Agency unveiled a sweeping regulatory action, curbing particulate matter emissions from industry sources such as manufacturing and energy.",/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation
27,"Biden admin sued for hiding John Kerry's staff, coordination with eco groups",FIRST ON FOX: The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerry's taxpayer-funded staff.,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups
28,TikTok activist says he advised White House on Biden's new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports.,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium
29,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy.,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development
